24,14,,,,,,,,,,,,,,,,,,,,,,
ROCK,IS,STOP,,OBJ_ROCK,OBJ_GRASS,OBJ_GRASS,OBJ_GRASS,OBJ_GRASS,OBJ_GRASS,,,OBJ_SKULL,,,,,,,,,OBJ_GRASS,OBJ_GRASS,OBJ_GRASS
v,,,,OBJ_ROCK,,OBJ_GRASS,OBJ_GRASS,,,OBJ_WALL,OBJ_WALL,OBJ_SKULL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,,,OBJ_GRASS,OBJ_GRASS
SKULL,IS,DEFEAT,,OBJ_ROCK,,,,,,OBJ_WALL,,OBJ_SKULL,,,OBJ_WALL,OBJ_TILE,OBJ_TILE,OBJ_TILE,OBJ_WALL,,,,OBJ_GRASS
v,,,,OBJ_ROCK,,,,,,OBJ_WALL,,OBJ_SKULL,,,,OBJ_TILE,OBJ_FLAG,OBJ_TILE,OBJ_WALL,,,,
FLAG,IS,WIN,,OBJ_ROCK,,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,,OBJ_SKULL,,,OBJ_WALL,OBJ_TILE,OBJ_TILE,OBJ_TILE,OBJ_WALL,,,,
v,,,,OBJ_ROCK,,OBJ_WALL,OBJ_TILE,OBJ_TILE,OBJ_TILE,OBJ_WALL,,OBJ_SKULL,,,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,,,,
OBJ_ROCK,OBJ_ROCK,OBJ_ROCK,OBJ_ROCK,OBJ_ROCK,,OBJ_WALL,OBJ_TILE,OBJ_BABA,OBJ_TILE,,,OBJ_SKULL,OBJ_WALL,OBJ_WALL,OBJ_WALL,,,,,,,,
v,,,,,,OBJ_WALL,OBJ_TILE,OBJ_TILE,OBJ_TILE,OBJ_WALL,,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL
v,,,,,,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,,,,,OBJ_WALL,,,,,,,,
v,,OBJ_GRASS,,,,,,,,OBJ_WALL,,WALL,IS,STOP,OBJ_WALL,,,,,,,,
v,OBJ_GRASS,OBJ_GRASS,OBJ_GRASS,,,,,,BABA,OBJ_WALL,,,,,OBJ_WALL,,,,,,,,
v,,OBJ_GRASS,OBJ_GRASS,,,,,,IS,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,,,,,,OBJ_GRASS,OBJ_GRASS,
v,,,,,,,,,YOU,,,,,,,,,,OBJ_GRASS,OBJ_GRASS,OBJ_GRASS,OBJ_GRASS,OBJ_GRASS
