31,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALL,IS,STOP,OBJ_LAVA,OBJ_LAVA,,OBJ_WALL,,,,,,OBJ_WALL,,,,OBJ_WALL,,,,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,,,,
OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,,,OBJ_WALL,,,,,,,,OBJ_BABA,,OBJ_WALL,,,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,,,,,
OBJ_LAVA,OBJ_LAVA,,,,,OBJ_WALL,,,,,,OBJ_WALL,,,,OBJ_WALL,,,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,,,,,,
OBJ_LAVA,,,,,,OBJ_WALL,,BABA,IS,YOU,,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,,,,,,
v,,,,,,OBJ_WALL,OBJ_WALL,,,,OBJ_WALL,OBJ_WALL,,,,,,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,,,,,,,
v,,,,,,OBJ_WALL,,,,,,OBJ_ROCK,,,,,,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,,,,,,,
v,,,,,,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,,,,,,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,,,,,,,
v,,,,,,OBJ_WALL,ROCK,OBJ_WALL,,,,,,,,,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,,,,,,,,,
v,,,,,,,IS,,,,,,,,,,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,,,,,,,,,
v,,,,,,,PUSH,,,,,,,,,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,,,,,,,,,
v,,,,,,,,,,,,LAVA,,,,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,,,,,,,,,,
v,,,,,,,,,,,,,,,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,,,,,,,,,,,
v,,,,,,,OBJ_WALL,BABA,IS,MELT,OBJ_WALL,,,,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,,,,,OBJ_FLAG,,,,,,
v,,,,,,,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,,,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,,,,,,,,,,,,
v,,,,,,,OBJ_WALL,LAVA,IS,HOT,OBJ_WALL,,,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,,,,,,FLAG,IS,WIN,,,,,
v,,,,,,,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,,,,,,,,,,,,,OBJ_LAVA
v,,,,,,,,,,,,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,,,,,,,,,,,,,OBJ_LAVA,OBJ_LAVA
v,,,,,,,,,,,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA,,,,,,,,,,,,OBJ_LAVA,OBJ_LAVA,OBJ_LAVA
