24,18,,,,,,,,,,,,,,,,,,,,,
v,,,,,,,,,,,,,,,,,,,,,,
v,,,,,,,,OBJ_GRASS,,,,,,,,,,,,,,
v,,,,,,,,,,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,,,,,,OBJ_GRASS
v,,,,,,,,,,OBJ_WALL,,,,,,OBJ_WALL,OBJ_GRASS,,,,,
v,,,,,,,,,,OBJ_WALL,,,,,,OBJ_WALL,,OBJ_GRASS,,,,
v,,,,,,,,,,OBJ_WALL,,IS,,,,OBJ_WALL,,,,,,
v,,,,,,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,,,,WIN,,OBJ_WALL,,,,,,
v,,,,,,OBJ_WALL,OBJ_TILE,OBJ_TILE,OBJ_TILE,OBJ_TILE,,,,,,OBJ_WALL,,,,OBJ_GRASS,,
v,,OBJ_GRASS,,,,OBJ_WALL,OBJ_TILE,FLAG,OBJ_TILE,OBJ_TILE,,OBJ_FLAG,,,,OBJ_WALL,,,,,,
v,,,OBJ_GRASS,,,OBJ_WALL,OBJ_TILE,OBJ_TILE,OBJ_TILE,OBJ_TILE,,,,,,OBJ_WALL,,,,,,
v,,,,,,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,,,,,,
v,,,,,,,,,,OBJ_WALL,,,,,,OBJ_WALL,,,,,,
v,,,,,,,,BABA,,OBJ_WALL,,WALL,,,,OBJ_WALL,,,,,OBJ_GRASS,
v,,,,,,,,IS,,OBJ_WALL,,IS,,OBJ_BABA,,OBJ_WALL,,,,OBJ_GRASS,OBJ_GRASS,
v,,,,,,,,YOU,,OBJ_WALL,,STOP,,,,OBJ_WALL,,,,,,
v,,,,,,,,,,OBJ_WALL,,,,,,OBJ_WALL,,,,,,
v,,,OBJ_GRASS,,,,,,,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,,,OBJ_GRASS,,,
