24,14,,,,,,,,,,,,,,,,,,,,
FLAG,IS,WIN,,,,,,,,,,,,,,,,,,,
BABA,IS,YOU,,,,,,,,,,,,,,,,,,,
v,,,,,,,,,,,,,,,,,,,,,
v,,,,,,,,,,,,,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL
v,,,,,,,,,,,,,OBJ_SKULL,,,,,,,,OBJ_SKULL
v,,ROCK,IS,PUSH,,,,,,,,,OBJ_SKULL,,SKULL,,,,,,OBJ_SKULL
v,,,,,,,,,,,,,OBJ_SKULL,,IS,,,,,,OBJ_SKULL
v,,,,,OBJ_SKULL,,OBJ_SKULL,,,,,,OBJ_SKULL,,DEFEAT,,,,,,OBJ_SKULL
v,,,,,OBJ_SKULL,OBJ_ROCK,OBJ_SKULL,,,,,,OBJ_SKULL,,,,,,,,OBJ_SKULL
v,,,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,OBJ_ROCK,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,,,,OBJ_SKULL,,,,,,OBJ_FLAG,,OBJ_SKULL
v,,,OBJ_SKULL,,,OBJ_ROCK,,,OBJ_SKULL,,,,OBJ_SKULL,,,,,,,,OBJ_SKULL
v,,,OBJ_SKULL,,,,,,OBJ_SKULL,,,,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL,OBJ_SKULL
v,,,OBJ_SKULL,,,OBJ_BABA,,,OBJ_SKULL,,,,,,,,,,,,
v,,,OBJ_SKULL,,,,,,OBJ_SKULL,,,,,,,,,,,,
