23,16,,,,,,,,,,,,,,,,,,,,,
BABA,WALL,OBJ_ROCK,,,,,,,,,,,,,,,OBJ_GRASS,,,,,
IS,IS,OBJ_ROCK,,,OBJ_GRASS,,,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,,OBJ_GRASS,,,,,
YOU,STOP,OBJ_ROCK,,,,,,OBJ_WALL,,,,,,,OBJ_WALL,,,,,,,
OBJ_ROCK,OBJ_ROCK,OBJ_ROCK,,,,,,OBJ_WALL,,OBJ_BABA,,,OBJ_ROCK,,OBJ_WALL,,,,,,,
v,,,,,,,WATER,OBJ_WALL,,,,,,,OBJ_WALL,,,,,,,
v,,,,,,,IS,OBJ_WALL,,,,,OBJ_ROCK,,OBJ_WALL,,,,,,,
v,,,,,,,SINK,OBJ_WALL,,,,,,,OBJ_WALL,,,,,,,
OBJ_GRASS,,,,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WATER,OBJ_WATER,OBJ_WATER,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,,OBJ_GRASS,,
v,OBJ_GRASS,,,OBJ_WALL,,,,,,,,OBJ_WALL,,,,,,OBJ_WALL,,,,
v,,,,OBJ_WALL,,,,,,,,OBJ_WALL,,ROCK,IS,PUSH,,OBJ_WALL,,,OBJ_GRASS,
v,,,,OBJ_WALL,,,,,,,,OBJ_WALL,,,,,,OBJ_WALL,,,,
v,,,,OBJ_WALL,OBJ_WATER,OBJ_WATER,OBJ_WATER,OBJ_WATER,,OBJ_WALL,,,,,,,,OBJ_WALL,,,,
v,OBJ_GRASS,OBJ_GRASS,,OBJ_WALL,OBJ_WATER,OBJ_WATER,OBJ_WATER,OBJ_WATER,,,,OBJ_WALL,,FLAG,IS,WIN,,OBJ_WALL,,,,
v,OBJ_GRASS,OBJ_GRASS,,OBJ_WALL,OBJ_FLAG,OBJ_WATER,OBJ_WATER,OBJ_WATER,,,,OBJ_WALL,,,,,,OBJ_WALL,,,OBJ_GRASS,OBJ_GRASS
v,,,,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,OBJ_WALL,,,OBJ_GRASS,
